DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,PCODE2,centroid_lon,centroid_lat
0,2011,1006,SAN MIGUEL DE URCUQUI,10,IMBABURA,EC1006,-78.31672782730429,0.5671537989265456
0,2011,1101,LOJA,11,LOJA,EC1101,-79.2516100320785,-4.064309842620867
0,2011,1102,CALVAS,11,LOJA,EC1102,-79.60399914556669,-4.337350555589799
0,2011,1103,CATAMAYO,11,LOJA,EC1103,-79.39478484369657,-3.985330417722102
0,2011,1104,CELICA,11,LOJA,EC1104,-80.02959403651704,-4.167635057683502
0,2011,1105,CHAGUARPAMBA,11,LOJA,EC1105,-79.67053266508792,-3.853274288183152
0,2011,1106,ESPINDOLA,11,LOJA,EC1106,-79.41127095678544,-4.546980116242522
0,2011,1107,GONZANAMA,11,LOJA,EC1107,-79.45615000705608,-4.159511833548355
0,2011,1108,MACARA,11,LOJA,EC1108,-79.92222104701548,-4.329638255606222
0,2011,1109,PALTAS,11,LOJA,EC1109,-79.75902341812925,-4.013033644582543
0,2011,1110,PUYANGO,11,LOJA,EC1110,-80.07218016379831,-3.9745839129335008
0,2011,1111,SARAGURO,11,LOJA,EC1111,-79.30861483553073,-3.5375311022855485
0,2011,1112,SOZORANGA,11,LOJA,EC1112,-79.78229518984135,-4.2814180113560845
0,2011,1113,ZAPOTILLO,11,LOJA,EC1113,-80.32422500553044,-4.223426181093167
0,2011,1114,PINDAL,11,LOJA,EC1114,-80.13144082170244,-4.093131282622288
0,2011,1115,QUILANGA,11,LOJA,EC1115,-79.38336150347685,-4.343296991280039
0,2011,1116,OLMEDO,11,LOJA,EC1116,-79.59707018376366,-3.9364476808820563
0,2011,1201,BABAHOYO,12,LOS RIOS,EC1201,-79.43267233504308,-1.8388778525167364
0,2011,1202,BABA,12,LOS RIOS,EC1202,-79.66107046759204,-1.6810004210578486
0,2011,1203,MONTALVO,12,LOS RIOS,EC1203,-79.31731789544996,-1.8046887377599108
0,2011,1204,PUEBLOVIEJO,12,LOS RIOS,EC1204,-79.5452728603757,-1.550122922422832
0,2011,1205,QUEVEDO,12,LOS RIOS,EC1205,-79.45715218330064,-1.0449260271953256
0,2011,1206,URDANETA,12,LOS RIOS,EC1206,-79.38892382426988,-1.5662547958992938
0,2011,1207,VENTANAS,12,LOS RIOS,EC1207,-79.4143295204837,-1.3726589571352013
0,2011,1208,VINCES,12,LOS RIOS,EC1208,-79.7331006299386,-1.525523851530398
0,2011,1209,PALENQUE,12,LOS RIOS,EC1209,-79.71535934970927,-1.3342738396678169
